dataset,method,shots,seed,base_acc,new_acc,all_acc,hm,base_train_test_acc
oxford_pets,cocoop,1,1,89.84582668793195,94.7986577181208,85.772690106296,92.2558158072077,89.84582668793195
oxford_pets,cocoop,4,1,94.68367889420522,96.70022371364654,91.30553284273644,95.68132749243075,94.68367889420522
oxford_pets,cocoop,8,1,95.0026581605529,96.0290827740492,90.40610520577816,95.513112947838,95.0026581605529
oxford_pets,cocoop,16,1,95.0026581605529,96.70022371364654,91.3600436086127,95.84392480385472,95.0026581605529
oxford_pets,coop,1,1,88.6762360446571,95.3579418344519,85.09130553284274,91.89579301296068,88.6762360446571
oxford_pets,coop,4,1,94.47102604997342,96.75615212527964,90.1062959934587,95.5999356905779,94.47102604997342
oxford_pets,coop,8,1,94.47102604997342,97.25950782997762,90.97846824747889,95.84498944301076,94.47102604997342
oxford_pets,coop,16,1,95.2153110047847,96.92393736017895,89.88825292995367,96.06202707765452,95.2153110047847
stanford_cars,cocoop,1,1,62.668665667166415,72.02277791532558,64.50690212660118,67.02090748372947,62.668665667166415
stanford_cars,cocoop,4,1,65.71714142928536,72.07229512255509,65.58885710732496,68.74816140089439,65.71714142928536
stanford_cars,cocoop,8,1,70.06496751624188,72.31988115870264,67.77763959706505,71.17456908256833,70.06496751624188
stanford_cars,cocoop,16,1,71.03948025987006,69.32409012131716,66.27285163536874,70.17130325671435,71.03948025987006
ucf101,cocoop,1,1,68.61427094105481,66.79286100594916,60.692572032778216,67.69131575409281,68.61427094105481
ucf101,cocoop,4,1,75.80144777662875,61.276365603028665,63.09807031456516,67.7693510376473,75.80144777662875
ucf101,cocoop,8,1,77.76628748707343,63.439697133585724,65.68860692572032,69.8762129471596,77.76628748707343
ucf101,cocoop,16,1,80.29989658738366,70.03785830178475,68.62278614855934,74.81863465343409,80.29989658738366
