exp_key,dataset,num_shots,seed,csc,class_token_position,n_ctx,final_acc,best_acc,best_val_acc,weights_path,context_type,variant
caltech101_shots16_cscTrue_posend_seed1,caltech101,16,1,True,end,16,94.60446247464503,94.60446247464503,96.30078835657974,/scratch/HS400/coop_results/output/weights/caltech101_shots16_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
caltech101_shots16_cscTrue_posmiddle_seed1,caltech101,16,1,True,middle,16,94.84787018255578,94.84787018255578,96.0582171012735,/scratch/HS400/coop_results/output/weights/caltech101_shots16_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
oxfordflowers_shots1_cscFalse_posend_seed1,oxfordflowers,1,1,False,end,16,78.76573284612262,78.76573284612262,79.24066135946111,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots1_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
oxfordflowers_shots1_cscFalse_posmiddle_seed1,oxfordflowers,1,1,False,middle,16,79.69955339017459,79.69955339017459,78.62829148805879,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots1_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
oxfordflowers_shots1_cscTrue_posend_seed1,oxfordflowers,1,1,True,end,16,76.81688997157937,76.81688997157937,75.19902020820575,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots1_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
oxfordflowers_shots1_cscTrue_posmiddle_seed1,oxfordflowers,1,1,True,middle,16,73.48761672756801,73.48761672756801,73.91304347826087,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots1_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
oxfordflowers_shots4_cscFalse_posend_seed1,oxfordflowers,4,1,False,end,16,91.47381242387333,91.47381242387333,91.79424372320882,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots4_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
oxfordflowers_shots4_cscFalse_posmiddle_seed1,oxfordflowers,4,1,False,middle,16,90.0933820544052,90.0933820544052,90.20208205756276,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots4_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
oxfordflowers_shots4_cscTrue_posend_seed1,oxfordflowers,4,1,True,end,16,92.20462850182705,92.20462850182705,93.0802204531537,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots4_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
oxfordflowers_shots4_cscTrue_posmiddle_seed1,oxfordflowers,4,1,True,middle,16,92.32643118148599,92.32643118148599,92.65156154317208,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots4_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
oxfordflowers_shots8_cscFalse_posend_seed1,oxfordflowers,8,1,False,end,16,93.74746244417378,93.74746244417378,93.6313533374158,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots8_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
oxfordflowers_shots8_cscFalse_posmiddle_seed1,oxfordflowers,8,1,False,middle,16,94.55948030856679,94.55948030856679,94.30496019595836,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots8_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
oxfordflowers_shots8_cscTrue_posend_seed1,oxfordflowers,8,1,True,end,16,95.41209906617945,95.41209906617945,95.16227801592161,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots8_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
oxfordflowers_shots8_cscTrue_posmiddle_seed1,oxfordflowers,8,1,True,middle,16,95.61510353227771,95.61510353227771,95.16227801592161,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots8_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
oxfordflowers_shots16_cscFalse_posend_seed1,oxfordflowers,16,1,False,end,16,96.42712139667073,96.42712139667073,96.63196570728721,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots16_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
oxfordflowers_shots16_cscFalse_posmiddle_seed1,oxfordflowers,16,1,False,middle,16,96.02111246447421,96.02111246447421,95.65217391304348,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots16_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
oxfordflowers_shots16_cscTrue_posend_seed1,oxfordflowers,16,1,True,end,16,96.79252943564758,96.79252943564758,96.8156766687079,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots16_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
oxfordflowers_shots16_cscTrue_posmiddle_seed1,oxfordflowers,16,1,True,middle,16,96.95493300852618,96.95493300852618,96.75443968156766,/scratch/HS400/coop_results/output/weights/oxfordflowers_shots16_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
fgvc_aircraft_shots1_cscFalse_posend_seed1,fgvc_aircraft,1,1,False,end,16,26.37263726372637,26.37263726372637,27.242724272427242,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots1_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
fgvc_aircraft_shots1_cscFalse_posmiddle_seed1,fgvc_aircraft,1,1,False,middle,16,27.09270927092709,27.09270927092709,27.962796279627963,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots1_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
fgvc_aircraft_shots1_cscTrue_posend_seed1,fgvc_aircraft,1,1,True,end,16,19.021902190219024,19.021902190219024,17.581758175817583,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots1_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
fgvc_aircraft_shots1_cscTrue_posmiddle_seed1,fgvc_aircraft,1,1,True,middle,16,19.711971197119713,19.711971197119713,18.6018601860186,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots1_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
fgvc_aircraft_shots4_cscFalse_posend_seed1,fgvc_aircraft,4,1,False,end,16,32.67326732673267,32.67326732673267,33.87338733873387,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots4_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
fgvc_aircraft_shots4_cscFalse_posmiddle_seed1,fgvc_aircraft,4,1,False,middle,16,32.853285328532856,32.853285328532856,33.423342334233425,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots4_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
fgvc_aircraft_shots4_cscTrue_posend_seed1,fgvc_aircraft,4,1,True,end,16,32.01320132013201,32.01320132013201,30.633063306330634,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots4_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
fgvc_aircraft_shots4_cscTrue_posmiddle_seed1,fgvc_aircraft,4,1,True,middle,16,31.623162316231625,31.623162316231625,30.633063306330634,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots4_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
fgvc_aircraft_shots8_cscFalse_posend_seed1,fgvc_aircraft,8,1,False,end,16,37.353735373537354,37.353735373537354,40.44404440444045,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots8_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
fgvc_aircraft_shots8_cscFalse_posmiddle_seed1,fgvc_aircraft,8,1,False,middle,16,37.53375337533753,37.53375337533753,39.24392439243925,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots8_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
fgvc_aircraft_shots8_cscTrue_posend_seed1,fgvc_aircraft,8,1,True,end,16,37.833783378337834,37.833783378337834,37.38373837383738,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots8_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
fgvc_aircraft_shots8_cscTrue_posmiddle_seed1,fgvc_aircraft,8,1,True,middle,16,36.99369936993699,36.99369936993699,37.95379537953795,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots8_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
fgvc_aircraft_shots16_cscFalse_posend_seed1,fgvc_aircraft,16,1,False,end,16,42.27422742274227,42.27422742274227,43.594359435943595,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots16_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
fgvc_aircraft_shots16_cscFalse_posmiddle_seed1,fgvc_aircraft,16,1,False,middle,16,43.14431443144314,43.14431443144314,44.164416441644164,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots16_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
fgvc_aircraft_shots16_cscTrue_posend_seed1,fgvc_aircraft,16,1,True,end,16,44.19441944194419,44.19441944194419,45.664566456645666,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots16_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
fgvc_aircraft_shots16_cscTrue_posmiddle_seed1,fgvc_aircraft,16,1,True,middle,16,44.404440444044404,44.404440444044404,45.57455745574558,/scratch/HS400/coop_results/output/weights/fgvc_aircraft_shots16_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
stanford_cars_shots1_cscFalse_posend_seed1,stanford_cars,1,1,False,end,16,66.8573560502425,66.8573560502425,67.2782874617737,/scratch/HS400/coop_results/output/weights/stanford_cars_shots1_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
stanford_cars_shots1_cscFalse_posmiddle_seed1,stanford_cars,1,1,False,middle,16,66.89466484268125,66.89466484268125,66.97247706422019,/scratch/HS400/coop_results/output/weights/stanford_cars_shots1_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
stanford_cars_shots1_cscTrue_posend_seed1,stanford_cars,1,1,True,end,16,49.34709613232185,49.34709613232185,51.00917431192661,/scratch/HS400/coop_results/output/weights/stanford_cars_shots1_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
stanford_cars_shots1_cscTrue_posmiddle_seed1,stanford_cars,1,1,True,middle,16,50.67777639597065,50.67777639597065,52.782874617737,/scratch/HS400/coop_results/output/weights/stanford_cars_shots1_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
stanford_cars_shots4_cscFalse_posend_seed1,stanford_cars,4,1,False,end,16,72.13033204825271,72.13033204825271,72.29357798165138,/scratch/HS400/coop_results/output/weights/stanford_cars_shots4_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
stanford_cars_shots4_cscFalse_posmiddle_seed1,stanford_cars,4,1,False,middle,16,72.09302325581395,72.09302325581395,73.33333333333333,/scratch/HS400/coop_results/output/weights/stanford_cars_shots4_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
stanford_cars_shots4_cscTrue_posend_seed1,stanford_cars,4,1,True,end,16,67.03146374829001,67.03146374829001,68.68501529051987,/scratch/HS400/coop_results/output/weights/stanford_cars_shots4_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
stanford_cars_shots4_cscTrue_posmiddle_seed1,stanford_cars,4,1,True,middle,16,66.6583758239025,66.6583758239025,68.62385321100918,/scratch/HS400/coop_results/output/weights/stanford_cars_shots4_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
stanford_cars_shots8_cscFalse_posend_seed1,stanford_cars,8,1,False,end,16,76.44571570700161,76.44571570700161,77.00305810397553,/scratch/HS400/coop_results/output/weights/stanford_cars_shots8_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
stanford_cars_shots8_cscFalse_posmiddle_seed1,stanford_cars,8,1,False,middle,16,75.60004974505658,75.60004974505658,76.81957186544342,/scratch/HS400/coop_results/output/weights/stanford_cars_shots8_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
